node_id,price_dp,geometry
BAYSHOR2_1_N001,57.50571,POINT (-122.40313818433472 37.74603599998622)
BAYWOOD_6_N001,54.25986,POINT (-120.811564 35.360177)
BCN_PP_LNODESS1,51.98284,POINT (-118.02736892630813 35.25680070871138)
BCN_PP_LNODESS2,51.98284,POINT (-118.02726679027704 35.256766720360744)
BEARTAP_1_N001,52.28389,POINT (-119 35.38)
BELLEF_7_CN10,52.81483,POINT (-122.10383 39.776083)
BELLEF_7_CN11,52.81483,POINT (-122.10371323062876 39.77608299994151)
BELLPGE_1_N001,55.0809,POINT (-121.0911283822858 38.947418999985814)
BELLPGE_1_N005,55.0809,POINT (-121.0912436177142 38.947418999985814)
BELLVUE_1_N001,55.29508,POINT (-122.712022 38.379084046922976)
BELLVUE_1_N003,55.29508,POINT (-122.711962292445 38.37900297652332)
BELLVUE_1_N005,55.29508,POINT (-122.712081707555 38.37900297652332)
BELMONT_1_N001,57.2156,POINT (-122.264967 37.52332024549896)
BELMONT_1_N006,57.2156,POINT (-122.26490776711239 37.52323887723573)
BELMONT_1_N008,57.2156,POINT (-122.26502623288762 37.52323887723573)
BELRIDGE_1_N001,51.59421,POINT (-119.631903 35.455722)
BERESFRD_6_N001,56.62993,POINT (-122.31923796388803 37.565013999986284)
BERESFRD_6_N002,56.62993,POINT (-122.31935203611197 37.565013999986284)
BERNARDO_6_N001,53.56471,POINT (-117.096228 33.021575)
BERNARDO_6_N002,53.56471,POINT (-117.09612121988424 33.021574999954524)
BERNARDO_6_N009,53.56471,POINT (-117.096228 33.02148546856512)
BERNARDO_6_N013,53.56471,POINT (-117.09633478011577 33.021574999954524)
BERNARDO_6_N014,53.56471,POINT (-117.096228 33.0216645314348)
BERNARDO_LNODEARDO,50.98664,POINT (-117.0962277 33.02157451)
BERVLLY_6_N001,55.68299,POINT (-120.125088 37.586478)
BIGBASN_6_N001,56.83793,POINT (-122.172132 37.129545)
BIGCRK1_7_N001,56.32341,POINT (-119.24090286336467 37.20203293082091)
BIGMDWS_6_N001,49.79339,POINT (-121.085128 40.171215)
BIGRIVR_6_N001,63.21456,POINT (-123.786522 39.311461)
BIOLA_6_N001,55.25605,POINT (-120.114116 36.792525)
BIXLER_6_N001,54.77985,POINT (-121.528389 37.9370142319286)
BKRSFLD_2_N001,52.0321,POINT (-119.0044078374034 35.388298999987455)
BKRSFLD_2_N101,52.0321,POINT (-119.0045181625966 35.388298999987455)
BLLEHVN_6_N001,57.74654,POINT (-122.16793304841748 37.4772652825887)
BLLEHVN_6_N002,57.74654,POINT (-122.16787609695427 37.477186999945324)
BLLEHVN_6_N004,57.74654,POINT (-122.1679330485368 37.477108717384)
BLLEHVN_6_N006,57.74654,POINT (-122.1680469514632 37.477108717384)
BLLEHVN_6_N007,57.74654,POINT (-122.16810390304572 37.477186999945324)
BLUELKE_6_N001,68.85628,POINT (-123.980584 40.88014)
BLUSTNPP_6_N003,52.78746,POINT (-121.497588 38.575523)
BLYTHESC_1_N005,51.26579,POINT (-114.682935 33.614957)
BNAVSTA_6_N001,56.91456,POINT (-121.62946 36.653344)
BNAVSTA_6_N002,56.91456,POINT (-121.62934811906177 36.65334399994771)
BNTACRB_6_N001,50.18124,POINT (-121.35069018924217 37.7528989999862)
BOGARD_6_N001,52.4262,POINT (-121.093959 40.586552)
BOGUE_1_N001,54.63206,POINT (-121.623771 39.09613073444745)
BOGUE_1_N201,54.63206,POINT (-121.62371103865068 39.096050132760894)
BOLINAS_6_N001,55.44763,POINT (-122.707332 37.941119)
BOLLMAN_1_N003,55.24511,POINT (-121.98 38.04)
BOLTHSE_1_N009,52.42073,POINT (-118.92362184077258 35.36215899998747)
BONITA_6_N001,57.35244,POINT (-120.20266 36.967863)
BONNIEN_7_N001,49.22414,POINT (-120.80917722077704 39.214314999985774)
BORDEN_2_N007,55.89647,POINT (-119.98422371699712 36.92227399998671)
BORDER_6_N001,35.9391,POINT (-116.944389 32.56633480869927)
BORDER_6_N008,35.9391,POINT (-116.94433370647506 32.566254095638485)
BORONDA_6_N001,56.32888,POINT (-121.679239 36.689983)
BOSWELL_6_N001,56.81056,POINT (-119.552823 36.085115)
BOWLES_6_N001,55.33268,POINT (-119.773312 36.605651)
BRDGVLT_7_N001,67.27696,POINT (-123.78034162638289 40.47956799998481)
BREEZE_LNODEYT1,51.41906,POINT (-118.37403687435777 35.123880999987534)
BREEZE_LNODEYT2,51.41906,POINT (-118.37414712564222 35.123880999987534)
BRENTWOD_2_N001,54.45143,POINT (-121.676423 37.91959423612686)
BRENTWOD_2_N006,54.45143,POINT (-121.67636345967551 37.91951288192155)
BRENTWOD_2_N011,54.45143,POINT (-121.67648254032449 37.91951288192155)
BRGSMR_LNODEGZB,54.65396,POINT (-120.97704287657282 37.66621999998627)
BRGSMR_LNODETHU,54.65396,POINT (-120.97715712342718 37.66621999998627)
BRITTN_1_N001,56.96929,POINT (-122.015575 37.37433620668406)
BRITTN_1_N005,56.96929,POINT (-122.01551592726007 37.37425489664326)
BRITTN_1_N006,56.96929,POINT (-122.01563407273993 37.37425489664326)
BRKRSLG_1_N005,55.74868,POINT (-121.49747300547165 38.57552299994369)
BROCKWAY_LNODE01,50.36265,POINT (-120.02634939696748 39.243063530935196)
BROCKWAY_LNODE02,50.36265,POINT (-120.02634939726258 39.242884468950564)
BROCKWAY_LNODE51,50.36265,POINT (-120.02658060273741 39.242884468950564)
BROCKWAY_LNODE52,50.36265,POINT (-120.02658060303253 39.243063530935196)
BRRNDAC_6_N001,52.30031,POINT (-120.040362 35.658183)
BRUNSWCK_1_N003,57.8177,POINT (-121.034946 39.23119771901711)
BRUNSWCK_1_N008,57.8177,POINT (-121.03488594065819 39.23111714047599)
BRUNSWCK_1_N101,57.8177,POINT (-121.03500605934181 39.23111714047599)
BRWNSVY_6_N001,54.86743,POINT (-121.422634 39.226226)
BUELLTON_1_N001,55.90741,POINT (-120.18631205143852 34.625261999987686)
BUELLTON_1_N003,55.90741,POINT (-120.18642194856149 34.625261999987686)
BUENAVS1_7_B1,44.09381,POINT (-121.62934811919219 36.653254242119594)
BUENAVS1_7_B3,44.09381,POINT (-121.6294272308971 36.65319077379855)
BUENAVS1_7_B4,44.09381,POINT (-121.62953750035395 36.653175595551595)
BUENAVS1_7_B5,44.09381,POINT (-121.62964245619625 36.65320668330105)
BUENAVS1_7_B6,44.09381,POINT (-121.6297190021347 36.653272145363964)
BUENAVS1_7_B7,44.09381,POINT (-121.62975556706088 36.65335697428145)
BUENAVS2_7_B1,44.0336,POINT (-121.62974945473616 36.65344659805961)
BUENAVS2_7_B3,44.0336,POINT (-121.62970424026268 36.653528699704175)
BUENAVS2_7_B4,44.0336,POINT (-121.62962749889522 36.653594014575496)
BUENAVS2_7_B5,44.0336,POINT (-121.62952895027708 36.653636508590544)
BULLARD_1_N001,56.27414,POINT (-119.769224 36.824388)
BULLARD_1_N004,56.27414,POINT (-119.76911168846675 36.824387999947184)
BULLARD_1_N005,56.27414,POINT (-119.769224 36.824298097276774)
BULLARD_1_N006,56.27414,POINT (-119.76933631153325 36.824387999947184)
BURLNGME_1_N001,56.72845,POINT (-122.363434 37.589627)
BUTTE_1_N010,53.93144,POINT (-121.81325170045862 39.7118129999855)
BUTTE_1_N101,53.93144,POINT (-121.81336829954137 39.7118129999855)
BWILLIAM_LNODEILLW,51.17274,POINT (-114.38177086852794 34.16145330172)
B_6_N001,107.13244,POINT (-117.16944251257752 32.714377595830264)
B_6_N003,107.13244,POINT (-117.16944251279143 32.714198404079745)
B_6_N005,107.13244,POINT (-117.16965548720856 32.714198404079745)
B_6_N007,107.13244,POINT (-117.16965548742249 32.714377595830264)
CABRILLO_1_N001,55.67205,POINT (-117.24492651689708 32.70751759908557)
CABRILLO_6_N001,80.5302,POINT (-117.24492651711095 32.70733840082447)
CABRILLO_6_N004,80.5302,POINT (-117.24513948288904 32.70733840082447)
CALAVE_1_N001,56.56972,POINT (-119.76554095699167 36.71900181109094)
CALAVE_1_N002,56.56972,POINT (-119.76554095725366 36.718822188804005)
CALAVE_1_N004,56.56972,POINT (-119.76576504274634 36.718822188804005)
CALCMENT_7_N4,52.86956,POINT (-120.64 37.37)
CALISTGA_6_N001,57.26047,POINT (-122.57862 38.592664)
CALLENDR_1_N001,54.8948,POINT (-120.6 35.04)
CALPELLA_1_N001,54.21538,POINT (-123.192135 39.197538)
CALSUB_LNODEET,51.06327,POINT (-120.008761 39.521219)
CAMDEN_6_N001,56.29056,POINT (-119.79904229562648 36.446258999987045)
CAMDEN_6_N002,56.29056,POINT (-119.79915370437352 36.446258999987045)
CAMERON_6_N001,31.94101,POINT (-116.48807277404411 32.65324599998863)
CAMINO_2_N001,52.07041,POINT (-114.99 34.83)
CAMPHORA_6_N001,56.8215,POINT (-121.39017127220814 36.46829799998704)
CAMPHORA_6_N003,56.8215,POINT (-121.39028272779186 36.46829799998704)
CANAL_6_N001,56.41646,POINT (-120.8354215297125 37.066368999986636)
CANAL_6_N006,53.90407,POINT (-120.8355344702875 37.066368999986636)
CANBY_BP_LNODEACW,52.4262,POINT (-120.88087787131334 41.444925999984385)
CANBY_BP_LNODEVEC,52.4262,POINT (-120.88099812868666 41.444925999984385)
CAN_SUB_LNODEONA,52.6342,POINT (-118.592 34.18955419166312)
CAN_SUB_LNODEONB,52.6342,POINT (-118.59194326369176 34.189472904155366)
CAN_SUB_LNODEONC,52.6342,POINT (-118.59205673630824 34.189472904155366)
CAPAY_6_N001,53.18703,POINT (-122.10383 39.775993256822886)
CARBONA_6_N003,50.27977,POINT (-121.41818185598439 37.69218399998622)
CARBONA_6_N101,50.27977,POINT (-121.4182961440156 37.69218399998622)
CARLOTTA_6_N001,66.77759,POINT (-124.06382054930958 40.541122999984744)
CARLOTTA_6_N003,66.77759,POINT (-124.06393945069041 40.541122999984744)
CARLTNHS_1_N001,53.43882,POINT (-117.01185140348343 32.85503754591703)
CARLTNHS_1_N004,53.43882,POINT (-117.01185140369861 32.85485845399255)
CARNATIO_6_N001,69.07496,POINT (-119.083574 35.311332)
CARNERAS_6_N001,53.95334,POINT (-119.805238 35.541055)
CAROLNDS_6_N001,56.88719,POINT (-122.37633097506193 37.55291899998627)
CAROLNDS_6_N002,56.88719,POINT (-122.37644502493806 37.55291899998627)
CARQUINZ_1_N001,55.54068,POINT (-122.24848662968667 38.09103799998602)
CARQUINZ_1_N002,55.54068,POINT (-122.24860137031332 38.09103799998602)
CARRIZO_1_N001,52.71083,POINT (-120.040252 35.3805629695311)
CARRIZO_LNODEHILL,51.60516,POINT (-120.04019467441788 35.38048201522088)
CARRIZO_LNODEZOT1,50.82791,POINT (-120.04030932558213 35.38048201522088)
CARTWRT_1_N001,56.31246,POINT (-122.24994278512781 37.78999999998617)
CARTWRT_1_N010,56.31246,POINT (-122.25005721487219 37.78999999998617)
CARUTHRS_6_N001,55.46405,POINT (-119.882758 36.531554)
CAR_SM_LNODENE1,54.54996,POINT (-121.3294330286556 38.642773175556165)
CAR_SM_LNODENE2,54.54996,POINT (-121.32943302894401 38.64259349099788)
CAR_SM_LNODENE3,54.54996,POINT (-121.329663082168 38.64259349099788)
CAR_SM_LNODENE4,54.54996,POINT (-121.3296630824564 38.642773175556165)
CASTLE_LNODEDR1,54.45143,POINT (-120.56264978595905 37.36195490350885)
CASTLE_LNODEDR2,54.45143,POINT (-120.5625929569803 37.36187666885442)
CASTLE_LNODEDR3,54.41859,POINT (-120.56264978607754 37.36179843428164)
CASTLE_LNODEDR4,54.41859,POINT (-120.56276344403506 37.36179843428164)
CASTLE_LNODEDR5,54.45143,POINT (-120.5628202731323 37.36187666885442)
CASTLE_LNODEDR6,54.45143,POINT (-120.56276344415355 37.36195490350885)
CASTROVL_2_N001,55.95668,POINT (-122.06100285669102 37.69127699998625)
CASTROVL_2_N003,55.95668,POINT (-122.06111714330898 37.69127699998625)
CASTROVL_2_N006,55.95668,POINT (-121.73625384648868 36.76278384840137)
CAS_LA_LNODESMW,52.56304,POINT (-118.656638 34.587237)
CAS_PP_LNODE1AUX,52.56304,POINT (-118.65692220263387 34.58734037344726)
CAS_PP_LNODE2AUX,52.56304,POINT (-118.65687780855163 34.58742309555189)
CAS_PP_LNODE3AUX,52.56304,POINT (-118.65680245963806 34.587488904018386)
CAS_PP_LNODE4AUX,52.56304,POINT (-118.65670569917606 34.58753171916694)
CAS_PP_LNODE5AUX,52.56304,POINT (-118.65659776098718 34.58754852361777)
CAS_PP_LNODE6AUX,52.56304,POINT (-118.65648852558515 34.58753896054594)
CATALYST_7_N001,57.30866,POINT (-121.87909619952335 37.33647699998642)
CATLETT_6_N001,54.54996,POINT (-121.516115 38.808811)
CAWELOB_6_N001,65.35928,POINT (-119.11546380934058 35.57097799998741)
CAWELOC_1_N001,52.72177,POINT (-119.11557419065942 35.57097799998741)
CAYUCOS_6_N001,54.29817,POINT (-120.8703058292383 35.44865399998744)
CAYUCOS_6_N006,54.29817,POINT (-120.8704161707617 35.44865399998744)
CCOSTA_2_N001,54.39122,POINT (-121.7833735810065 37.998665892623194)
CCSUB_1_N001,54.36386,POINT (-121.75 38.03)
CCSUB_2_N001,54.34743,POINT (-121.75994265860079 38.01999999998606)
CCSUB_2_N010,54.34743,POINT (-121.7600573413992 38.01999999998606)
CEDRCRK_6_N101,50.9319,POINT (-121.93795172476342 40.79116899998464)
CENTERS_6_N001,53.98618,POINT (-118.105463 33.928884073837764)
CENTERS_6_N200,53.98618,POINT (-118.10551943910147 33.9288029630683)
CEN_SUB_LNODEONB,52.6123,POINT (-118.255 33.948054083699034)
CEN_SUB_LNODEONC,52.6123,POINT (-118.25494353789466 33.94797295813763)
CEN_SUB_LNODEOND,52.6123,POINT (-118.25505646210534 33.94797295813763)
CERES_LNODEDR1,54.35291,POINT (-120.956729570412 37.6088562120824)
CERES_LNODEDR3,54.35291,POINT (-120.956595705015 37.6089710504)
CERES_LNODEDR4,54.33649,POINT (-120.956592000755 37.6089019185376)
CERES_LNODEDR5,54.35291,POINT (-120.956712881849 37.6087606610128)
CERES_LNODEDR7,54.33649,POINT (-120.956712057352 37.6089324750351)
CERES_LNODEDR8,54.33649,POINT (-120.956714357349 37.6090011903052)
CERTTEED_1_N001,55.71036,POINT (-120.07994353791257 37.059999999986665)
CERTTEED_1_N002,55.71036,POINT (-120.08005646208743 37.059999999986665)
CHALLNGE_6_N001,54.71964,POINT (-121.220509 39.48543)
CHANNEL_6_N001,55.43554,POINT (-121.33242068885451 37.95526599998612)
CHARKA_1_N001,52.30031,POINT (-119.325523 35.608038)
CHCARITA_1_N001,53.5866,POINT (-117.08989329478639 32.9600895309367)
CHCARITA_1_N004,53.5866,POINT (-117.08989329500262 32.95991046897258)
CHCARITA_1_N008,53.5866,POINT (-117.09010670499737 32.95991046897258)
CHC_LNODE31A,50.91001,POINT (-120.89994237638588 38.95999999998579)
CHC_LNODE33A,50.91001,POINT (-120.90005762361412 38.95999999998579)
CHEROKEE_6_N001,56.15258,POINT (-121.237769 38.005513)
CHESTER_6_N001,49.42666,POINT (-121.224282 40.304405)
CHICOA_6_N001,53.93691,POINT (-121.82096169136352 39.71879299998543)
CHICOA_6_N010,53.93691,POINT (-121.82107830863647 39.71879299998543)
CHICOB_1_N001,53.77271,POINT (-121.84718768259572 39.725493999985424)
CHICOB_1_N002,53.77271,POINT (-121.84730431740428 39.725493999985424)
CHINO_6_N007,53.54281,POINT (-117.67886922357054 33.998301818402325)
CHINO_6_N008,53.54281,POINT (-117.67908677642946 33.998301818402325)
CHLDHOSP_1_N001,56.20299,POINT (-119.81 36.87)
CHOLLAS_6_N001,36.98169,POINT (-117.046316 32.744058749573895)
CHOLLAS_6_N008,36.98169,POINT (-117.04626065732346 32.743978125200904)
CHOLLAS_6_N009,36.98169,POINT (-117.04637134267654 32.743978125200904)
CHSTN_1_N001,35.08292,POINT (-120.3 38.09)
CHWCHLLA_1_N001,55.5571,POINT (-120.25055224215674 37.12073295026913)
CHWCHLLA_1_N002,55.5571,POINT (-120.25066975784326 37.12073295026913)
CIG_SM_LNODESS,54.65943,POINT (-121.461543055556 38.44525)
CIMA_2_N101,51.95547,POINT (-115.49292 35.2691)
CITYUKH_1_B1,54.11427,POINT (-123.19181754359136 39.14300254479826)
CLAIRMNT_6_N008,64.32412,POINT (-117.184096 32.825996732119705)
CLAMMNA_1_N001,49.81862,POINT (-121.276142 37.807826)
CLARIBEL_LNODEGFP,54.65396,POINT (-120.9688 37.71028)
CLARKRD_7_N001,53.61945,POINT (-121.635292 39.6546447946953)
CLARMNT_1_N001,55.96215,POINT (-117.18404062431202 32.82591613392796)
CLAUS_LNODEKSN,54.65943,POINT (-120.91954289863075 37.639389999986214)
CLAUS_LNODESME,54.65943,POINT (-120.91965710136925 37.639389999986214)
CLAYTN_1_N001,55.08637,POINT (-120.93484110965764 38.34245511038229)
CLAYTN_1_N004,55.08637,POINT (-121.969415 37.943825)
CLAYTN_1_N029,55.08637,POINT (-120.93484110994348 38.3422748895056)
CLAYTN_1_N030,55.08637,POINT (-120.93507089005652 38.3422748895056)
CLAY_6_N001,56.81432,POINT (-120.93507089034236 38.34245511038229)
CLERLKE_6_N001,53.77,POINT (-122.89377935245265 39.007954999985856)
CLERLKE_6_N012,53.77,POINT (-122.89389464754734 39.007954999985856)
CLMBAHL_6_N001,54.69227,POINT (-121.101368 39.331874)
CLOUGH_LNODEIYF,54.6868,POINT (-120.9751667 37.62761111)
CLOUGH_LNODEYBR,54.6868,POINT (-120.97505251712948 37.62761110994497)
CLOVIS_1_N001,56.64635,POINT (-119.681281 36.826043942491545)
CLOVIS_1_N004,56.52046,POINT (-119.68122263908639 36.825963028740034)
CLOVIS_1_N101,56.64635,POINT (-119.68133936091361 36.825963028740034)
CLOVRDLE_1_N001,51.84692,POINT (-123.011412 38.795757)
CLRKSVLE_1_N001,54.8948,POINT (-121.060175 38.655559898770534)
CLRKSVLE_1_N003,54.8948,POINT (-121.06011522698469 38.655479050599546)
CLRKSVLE_1_N004,54.8948,POINT (-121.0602347730153 38.655479050599546)
CLSAJCT_6_N001,52.17659,POINT (-121.990506 39.190857)
CLWTER_2_N003,55.44763,POINT (-118.93957167203409 35.39850993300358)
CMPEVRS_1_N001,57.29771,POINT (-122.02530956161661 37.041635999986624)
CMPEVRS_1_N002,57.29771,POINT (-122.02542243838339 37.041635999986624)
CNTRYCB_6_N001,55.20679,POINT (-121.31639835392943 37.97966036733168)
CNTRYCB_6_N002,55.20679,POINT (-121.31639835421177 37.979479632557)
CNTRYCB_6_N004,55.20679,POINT (-121.31662764578823 37.979479632557)
CNTRYCB_6_N006,55.20679,POINT (-121.31662764607057 37.97966036733168)
COLLEG_LNODEDR1,54.45143,POINT (-120.992876143573 37.6091056801805)
COLLEG_LNODEDR2,54.45143,POINT (-120.992789582042 37.6091096218649)
COLLEG_LNODEDR5,54.45143,POINT (-120.992698116343 37.6090266914486)
COLLEG_LNODER15,54.45143,POINT (-120.993034819943 37.6090419641747)
COLNGA1_6_N001,53.00093,POINT (-120.34444457141348 36.13602399998719)
COLNGA1_6_N002,53.00093,POINT (-120.34455542858652 36.13602399998719)
COLNGA2_6_N001,52.98451,POINT (-120.315114 36.236577)
COLONY_6_N001,56.67166,POINT (-121.181632 38.190132)
COLUMBUS_1_N001,52.30031,POINT (-118.93957167228022 35.398330066896115)
COLUMBUS_1_N003,52.30031,POINT (-118.93979232771979 35.398330066896115)
COLUMBUS_1_N005,52.30031,POINT (-118.9397923279659 35.39850993300358)
COLUSA_6_N001,53.28226,POINT (-122.00296022131043 39.213610999985775)
COLUSA_6_N004,53.28226,POINT (-122.00307577868956 39.213610999985775)
COLWATER_1_N001,50.80852,POINT (-116.85312978164612 34.86012489309556)
COLWATER_1_N002,50.80852,POINT (-116.85324421835388 34.86012489309556)
COMMONS_LNODEDR1,54.51712,POINT (-120.992962913259 37.6091045275098)
COMMONS_LNODEDR3,54.48975,POINT (-120.867554724081 37.5166183000533)
COMMONS_LNODEDR4,54.51712,POINT (-120.867555122205 37.516699044633)
COMMONS_LNODEDR5,54.48975,POINT (-120.867550987033 37.5164895041446)
COMMONS_LNODEDR7,54.48975,POINT (-120.867553025577 37.5165532160667)
COMMONS_LNODEDR8,54.51712,POINT (-120.913270146673 37.5008689404211)
